,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_ele_Mg,-0.00021102961992025548,0.0033584183905057685,0.001738932549945081,0.004886321320530594,0.004516322516612355
feature_ele_Mo,5.591926467607422e-05,0.0005484204694525818,0.004248042595036556,0.004852382329165212,0.00448495343119209
feature_thermo_1273_15_first_df_frac,0.0029474842557665193,-6.33595428756184e-05,0.0015855680887241499,0.004469692801615051,0.004131241667930713
feature_ele_Er,0.00014983150593783634,0.0038935149844869787,0.0004152566136798072,0.004458603104104623,0.004120991697189261
feature_exp_div_mp,-2.220446049250313e-16,0.00232394479151965,0.0019409633903265415,0.004264908181845969,0.003941963614227406
feature_ele_K,0.0005558102018127231,0.0031900485201117323,0.0003577194719793658,0.004103578193903821,0.0037928497493478026
feature_exp_mean_mp,-0.00020470275348105638,0.0015210387463996389,0.002720386261235338,0.0040367222541539205,0.003731056231022862
feature_ele_Br,0.0001568590793449287,0.0009752201528971938,0.0027713112574194497,0.003903390489661572,0.00360782052656226
feature_thermo_1173_15_last_df_frac,0.000790930565884862,0.0012085850754167682,0.0016453870389001113,0.0036449026802017415,0.003368905760718234
feature_ele_As,0.0006006704297485399,0.0023401507532279098,0.0006563710448811022,0.0035971922278575518,0.0033248080078147418
feature_ele_Ca,0.0011629572791349574,0.0033021397261882024,-0.0009166685095534302,0.0035484284957697297,0.003279736730922462
feature_ele_Yb,0.000846154209964034,-0.00028707645533154746,0.002635405483626745,0.0031944832382592315,0.0029525926830215677
feature_ele_Ir,0.0003439285575971285,0.0033883042867294266,-0.0006038225045109086,0.0031284103398156464,0.0028915229130650148
feature_thermo_1073_15_total_df,1.1102230246251565e-16,0.004245911001480751,-0.0013825004284916886,0.0028634105729891737,0.0026465892839999776
feature_text_is_homoge,-0.0001516145461006868,0.0030491095121247813,-5.4515701871048486e-05,0.002842979264153046,0.0026277050612713657
feature_ele_N,-0.0002142169241247105,0.0006538918022586104,0.002196213414449369,0.002635888292583269,0.0024362952958189884
feature_thermo_1273_15_last_df_frac,0.0007453405049931972,0.0014715799227656978,0.00033620981458061945,0.0025531302423395146,0.002359803796134678
feature_avg_dgf_300K,-9.593641271732345e-06,0.0009532050473970433,0.0013932489423545353,0.002336860348479846,0.002159910148698958
