,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_ele_S,0.0008387908805788102,0.006658238639068004,0.0007176619347805635,0.008214691454427377,0.003441716484423787
feature_text_is_wet,2.277772848413573e-05,0.0074004491314551,0.0005034844790626308,0.007926711339001866,0.0033210612028535874
feature_ele_Sc,0.00016325068818645594,0.008949890560383977,-0.001522330196691159,0.007590811051879275,0.00318032876491285
feature_thermo_1173_15_first_df_frac,0.003815922780852854,0.0020085511080614182,0.0015349713091685343,0.007359445198082806,0.003083393210198264
feature_thermo_1573_15_first_df_frac,0.0051428565340484456,0.002819519872525489,-0.0009380385499864471,0.007024337856587487,0.002942992993382541
feature_ele_Zr,0.0013735423228963262,0.005443513660951527,7.44303019731915e-05,0.006891486285821044,0.002887332054243795
feature_thermo_1273_15_total_df,-2.220446049250313e-16,0.007277183559885825,-0.0007215647870210678,0.0065556187728645346,0.0027466133477241695
feature_ele_Er,-9.420203661070214e-05,0.007831151805068992,-0.0014781509494776442,0.006258798818980646,0.002622254431280935
feature_thermo_1073_15_first_df,-3.3306690738754696e-16,0.004956877775443402,0.0011689399498782003,0.00612581772532127,0.002566539225822122
feature_thermo_1373_15_first_df_frac,-4.721577577393443e-05,0.003679933583279782,0.0023600665080721296,0.005992784315577977,0.0025108021014477394
feature_ele_Co,-5.970851559067292e-06,0.0023949598409338524,0.0031192293890059974,0.005508218378380782,0.0023077830856887234
feature_thermo_1173_15_total_df,-2.220446049250313e-16,0.005021045106079702,0.00045145458424361546,0.005472499690323096,0.002292817995621479
feature_thermo_1073_15_last_df_frac,0.002329120404598206,0.0007095335590178165,0.0022383823728776035,0.005277036336493626,0.002210924542811018
feature_thermo_1073_15_last_df,0.0006709241629553331,0.0028384321552069602,0.0011435303214176644,0.004652886639579958,0.0019494239968035202
feature_diff_p_h_300K,-2.220446049250313e-16,0.004495390049420123,0.00011707701986731461,0.004612467069287215,0.0019324893739827347
feature_ele_Sm,-0.00012694852699579595,0.002834274887406396,0.001745670149666863,0.004452996510077464,0.0018656758539062534
feature_ele_Ni,0.0023055119057183715,0.0013438602147572976,0.0006236916041654489,0.004273063724641118,0.0017902892569585623
feature_ele_Ru,0.0013982426896171907,-0.0002878076448147304,0.0031437546963463403,0.0042541897411488006,0.001782381607538907
feature_ele_Ti,0.0009025748539810419,-0.0002577548465441115,0.0035544704203328103,0.004199290427769741,0.0017593803940559073
feature_text_is_PVA,0.0017123109734784592,0.0009314029063463014,0.001405388608673055,0.004049102488497816,0.001696456021397305
feature_text_is_zirconia,-1.6695862925186766e-05,0.005505744620463826,-0.0014954156759687184,0.003993633081569921,0.0016732159553200752
feature_thermo_1273_15_last_df,-0.00013458769584306918,0.002762750527188551,0.0013133929914484594,0.003941555822793942,0.001651397100529578
feature_ele_Ho,0.0024198643820195764,0.00015407647307674743,0.001355418665117904,0.003929359520214228,0.0016462872049394035
feature_ele_Mn,0.0012709870990209593,-0.00030681227394291355,0.0027130968565316116,0.0036772716816096574,0.001540669742072858
feature_thermo_1073_15_total_df,-2.220446049250313e-16,0.0023556616715130207,0.0012826627827696672,0.003638324454282466,0.001524351988075859
feature_ele_C,0.0015885756514802951,-0.00014177316463515055,0.0020577438162761035,0.003504546303121248,0.0014683028387363363
feature_ele_B,0.0008001928429538507,0.0020178575589303582,0.000557747123556355,0.003375797525440564,0.0014143608504156183
feature_thermo_1373_15_last_df_frac,0.0002496022116359464,0.0008687004335419246,0.0022130166871473602,0.0033313193323252313,0.0013957257828307098
feature_thermo_1373_15_last_df,5.652796103172708e-05,0.001345275336670504,0.0019133082680890205,0.0033151115657912514,0.001388935200668841
feature_thermo_1073_15_first_df_frac,0.001294797205093956,0.001982871968024602,1.3080645977925077e-05,0.0032907498190964833,0.001378728338286499
feature_diff_dgf_300K,-2.220446049250313e-16,0.004221382212999503,-0.0009565612667174897,0.003264820946281791,0.001367864895699041
feature_ele_Ir,0.0012779005323889647,-0.00023989891213016534,0.0020821994173147083,0.0031202010375735076,0.0013072733656898524
feature_text_is_multi_heating,-9.924790915993853e-05,0.002068973858330825,0.0010029624771824028,0.002972688426353289,0.0012454698775718174
