,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_thermo_1273_15_first_df,-2.220446049250313e-16,0.0021574128958308236,-0.0021973284635532224,-3.991556772262083e-05,-1.4308103379382238e-05
feature_ele_Os,0.0,0.0,-0.0001702899602235411,-0.0001702899602235411,-6.104200677492792e-05
feature_ele_Re,0.0,0.0,-0.0001731838990931095,-0.0001731838990931095,-6.207936585264766e-05
feature_ele_Pd,-2.220446049250313e-16,0.0,-0.0001751451390207495,-0.00017514513902097155,-6.27823903927125e-05
feature_ele_Br,-4.440892098500626e-16,0.0,-0.00017619007789772988,-0.00017619007789817397,-6.315695837040093e-05
feature_ele_Rb,-4.440892098500626e-16,0.0,-0.00017692144909822933,-0.00017692144909867342,-6.341912512243535e-05
feature_ele_C,-2.220446049250313e-16,0.0,-0.0001769810148596934,-0.00017698101485991545,-6.344047701890955e-05
feature_ele_Ge,-2.220446049250313e-16,0.0,-0.0001769974636403865,-0.00017699746364060854,-6.344637323605112e-05
feature_ele_Cs,-2.220446049250313e-16,0.0,-0.00018026502076852496,-0.000180265020768747,-6.461765922432348e-05
feature_ele_P,-2.220446049250313e-16,0.0,-0.0001830075732347877,-0.00018300757323500976,-6.560075244958728e-05
feature_ele_Tl,-2.220446049250313e-16,0.0,-0.00018326815853725726,-0.0001832681585374793,-6.569416165455693e-05
feature_ele_Rh,-2.220446049250313e-16,0.0,-0.00018425291215741767,-0.00018425291215763971,-6.604715567178823e-05
feature_ele_Hg,0.00023163920871049903,0.00018874553009706752,-0.0006557472564292247,-0.00023536251762165813,-8.436786511879893e-05
feature_ele_Sc,0.0053299324879703125,-0.0002784328695191185,-0.005384290278309529,-0.000332790659858335,-0.00011929188125382484
feature_ele_Mn,0.001211454145912727,0.001941536565357338,-0.003609292404820045,-0.00045630169354998014,-0.00016356555038550338
feature_ele_Er,0.002030467211808329,-0.00031708770710192624,-0.0022696656235209464,-0.0005562861188145437,-0.0001994058897477005
feature_ele_Cr,-4.632495130307834e-05,8.321697839108744e-05,-0.0006502780918885362,-0.0006133860648005271,-0.00021987389200190844
feature_thermo_1373_15_last_df_frac,-0.00013572004340134391,-0.00023760381772053307,-0.0002677979235856379,-0.0006411217847075148,-0.00022981601660072433
feature_ele_Ho,7.702224456562767e-05,0.00039218744098634684,-0.0011281174469588956,-0.000658907761406921,-0.0002361915639833103
feature_ele_Ca,0.0004549714656593151,-0.0003110359062787893,-0.0008059927487344126,-0.0006620571893538868,-0.0002373205054771216
feature_diff_dgf_300K,-2.220446049250313e-16,0.001599196483441756,-0.002282538334879995,-0.000683341851438461,-0.00024495018890333814
feature_ele_As,0.00011184292407051544,0.0025057706333289076,-0.0033828064806047044,-0.0007651929232052814,-0.0002742904604658343
feature_text_is_polycrystal,0.0004594599343400452,0.001357659570424219,-0.002654937991169206,-0.0008378184864049421,-0.00030032376339835675
feature_diff_p_h_300K,-2.220446049250313e-16,0.0016820814924484173,-0.0026782847645832235,-0.0009962032721350282,-0.00035709825057828206
feature_thermo_1473_15_first_df_frac,-0.00013229774280265616,-0.0003111530538590923,-0.0006267147038688198,-0.0010701655005305683,-0.00038361069347792634
feature_ele_U,0.0002725476468586896,-0.00031204304571064156,-0.0012044362556640708,-0.0012439316545160227,-0.0004458987739666958
feature_thermo_1573_15_last_df_frac,-0.0001390635480534863,-1.6030998260196938e-05,-0.0011740919732887078,-0.001329186519602391,-0.0004764591666367402
feature_ele_Sr,-0.00010609283973450623,-0.0003136230598981271,-0.001113184933376678,-0.0015329008330093113,-0.0005494824410729507
feature_thermo_1273_15_first_df_frac,0.0007387962933920189,-0.0003015412987974475,-0.0020861554454090895,-0.0016489004508145181,-0.0005910635739046186
feature_ele_Pr,0.0006679178984883016,0.0004588909715872447,-0.002906345585529532,-0.0017795367154539855,-0.000637891347783394
feature_ele_Be,0.0004383573661821405,-0.0002616567496462885,-0.0022997739039994926,-0.0021230732874636406,-0.0007610352003541573
feature_thermo_1473_15_last_df_frac,-8.781372148969346e-05,-2.6665817031590322e-05,-0.0025393454115059167,-0.0026538249500272005,-0.0009512880287621254
feature_text_is_regrinding,0.00034322865019797977,-0.00018682726199736877,-0.0030495903691030862,-0.0028931889809024752,-0.0010370902732114297
feature_text_is_PVA,-0.00013092198958841728,-0.00010507184529950919,-0.003363876062352776,-0.0035998698972407026,-0.0012904065651772258
