,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_ele_Be,0.000450089987049207,-0.0002888127196400969,-0.0014682514383531078,-0.0013069741709439977,-0.00108928989023216
feature_ele_B,-1.1650173298960453e-05,-7.968559399618158e-05,-0.0012762894276776608,-0.0013676251949728028,-0.0011398391273751455
feature_ele_Fe,0.0002089497304156307,-0.00026011022997818323,-0.0014184690556257773,-0.0014696295551883298,-0.0012248540579013695
feature_ele_Tb,0.0007830243836349782,-6.01949000544888e-05,-0.0023137242382568375,-0.0015908947546763481,-0.0013259218209650241
feature_thermo_1473_15_first_df_frac,0.00036832611479609145,-0.00022089746170750324,-0.0023817675060223862,-0.002234338852933798,-0.0018621964978051536
feature_ele_Cu,-1.4373882925577952e-05,-0.00031499353499331306,-0.002026678212329611,-0.002356045630248502,-0.001963632291295922
feature_ele_Hg,5.019356811408748e-06,-0.00013189258307777507,-0.002251016043379794,-0.0023778892696461602,-0.0019818377433168757
feature_min_dgf_300K,-2.220446049250313e-16,-0.0001286092656940241,-0.0029418559738319705,-0.0030704652395262167,-0.0025590610878785977
feature_diff_dgf_300K,0.0,4.651221014284612e-05,-0.003122528994514669,-0.0030760167843718227,-0.0025636879900851816
feature_max_dgf_300K,-3.3306690738754696e-16,0.000952438102413744,-0.0046717229047017585,-0.0037192848022883475,-0.0030998159138069235
feature_ele_Sb,0.0007043525238275006,1.5212737138226018e-05,-0.004912068016734161,-0.004192502755768435,-0.003494216617403
feature_ele_Cl,0.00046063286951714133,-0.0003181599435857496,-0.004415468433381732,-0.00427299550745034,-0.0035613028250674854
feature_min_p_h_300K,-1.1102230246251565e-16,-0.0001513162322517303,-0.004162912519912123,-0.004314228752163965,-0.003595668428922976
feature_thermo_1273_15_last_df_frac,-0.00013901057796439353,0.00025260479992506024,-0.005264721561635337,-0.0051511273396746705,-0.0042931766052831406
feature_diff_p_h_300K,-1.1102230246251565e-16,0.00012104576088878272,-0.005956399016139161,-0.00583535325525049,-0.004863440646486997
